building_number,lab,labs_c_desktop,non_labs_c_desktop,c_server,wet_lab_instruments,labs_delta_temperature_area,non_labs_delta_temperature_area,delta_temperature,area_sm,direct_consumption,indirect_consumption
28,0,0,0,0.0,0.0,0.0,20763.546222222212,7.152444444444441,2903,14721.8,8589.385403173117
28,0,0,0,0.0,0.0,0.0,23332.628387096767,8.037419354838708,2903,27656.55,7397.367585664676
28,0,0,0,0.0,0.0,0.0,20484.566881720435,7.056344086021507,2903,16064.41,8828.276813672997
28,0,0,0,0.0,0.0,0.0,13901.499333333326,4.788666666666664,2903,16182.9,9893.279443939744
28,0,0,0,0.0,0.0,0.0,6032.6212903225805,2.0780645161290323,2903,15106.5,10244.823319654031
28,0,0,0,0.0,0.0,0.0,6071.140666666662,2.0913333333333317,2903,17523.56,4554.921924508577
28,0,0,0,0.0,0.0,0.0,22265.073548387103,7.669677419354841,2903,18811.9,614.4914405850111
29,1,109,0,0.0,85.0,43431.224731182796,0.0,10.112043010752688,4295,85861.55,16083.606946407748
29,1,109,0,0.0,85.0,37800.09047619047,0.0,8.80095238095238,4295,78447.22,16511.315461053848
29,1,109,0,0.0,85.0,34450.518279569886,0.0,8.021075268817203,4295,86993.88,13809.853099501186
29,1,110,0,0.0,85.0,17025.379999999997,0.0,3.963999999999999,4295,77298.03,11622.228769619818
29,1,110,0,0.0,85.0,20182.80537634407,0.0,4.699139784946233,4295,89654.63,3846.512600091066
29,1,112,0,0.0,85.0,30719.748888888877,0.0,7.152444444444441,4295,87487.21,15816.96802522456
29,1,113,0,0.0,85.0,34520.71612903225,0.0,8.037419354838708,4295,101537.37,45904.46450976954
29,1,113,0,0.0,85.0,30306.997849462376,0.0,7.056344086021507,4295,79497.73,8390.064995661132
29,1,113,0,0.0,85.0,20567.323333333323,0.0,4.788666666666664,4295,76146.17,33919.42474611264
29,1,113,0,0.0,85.0,8925.287096774195,0.0,2.0780645161290323,4295,73374.82,42779.01412325168
29,1,113,0,0.0,85.0,8982.27666666666,0.0,2.0913333333333317,4295,77281.7,14374.49605270866
29,1,113,0,0.0,86.0,32941.26451612904,0.0,7.669677419354841,4295,83243.98,19061.589498792004
30,0,0,363,3.0,0.0,0.0,26978.93075268817,10.112043010752688,2668,21694.04,76.29576926427353
30,0,0,364,3.0,0.0,0.0,23480.940952380948,8.80095238095238,2668,34745.32,0.0
30,0,0,364,3.0,0.0,0.0,21400.228817204297,8.021075268817203,2668,19937.21,64.17832733364688
30,0,0,364,3.0,0.0,0.0,10575.951999999997,3.963999999999999,2668,18405.76,1552.3285337617128
30,0,0,365,3.0,0.0,0.0,12537.30494623655,4.699139784946233,2668,22144.84,1562.379497096451
30,0,0,365,3.0,0.0,0.0,19082.72177777777,7.152444444444441,2668,23414.2,13538.086032865398
30,0,0,365,3.0,0.0,0.0,21443.83483870967,8.037419354838708,2668,33746.64,4914.10711071297
30,0,0,366,3.0,0.0,0.0,18826.32602150538,7.056344086021507,2668,23875.65,3364.7710408198213
30,0,0,366,3.0,0.0,0.0,12776.16266666666,4.788666666666664,2668,21629.83,19955.0417725832
30,0,0,369,3.0,0.0,0.0,5544.276129032258,2.0780645161290323,2668,14303.69,9091.136474042056
30,0,0,373,3.0,0.0,0.0,5579.677333333329,2.0913333333333317,2668,20628.38,334.7271656118084
30,0,0,373,3.0,0.0,0.0,20462.699354838714,7.669677419354841,2668,22228.98,0.0
32,0,0,10,3.0,0.0,0.0,24521.704301075268,10.112043010752688,2425,16940.93,0.0
32,0,0,10,3.0,0.0,0.0,21342.30952380952,8.80095238095238,2425,13906.08,0.0
32,0,0,10,3.0,0.0,0.0,19451.10752688172,8.021075268817203,2425,14223.88,149.8334649179287
32,0,0,10,3.0,0.0,0.0,9612.699999999997,3.963999999999999,2425,13857.62,3577.143768014618
32,0,0,10,3.0,0.0,0.0,11395.413978494615,4.699139784946233,2425,11281.1,4201.746071125096
32,0,0,10,3.0,0.0,0.0,17344.67777777777,7.152444444444441,2425,10002.99,7175.080674466945
32,0,0,10,3.0,0.0,0.0,19490.741935483868,8.037419354838708,2425,28613.14,6179.342900268919
32,0,0,10,3.0,0.0,0.0,17111.634408602156,7.056344086021507,2425,15246.85,7374.637236849167
32,0,0,10,3.0,0.0,0.0,11612.516666666661,4.788666666666664,2425,15196.68,8264.277847322304
32,0,0,10,3.0,0.0,0.0,5039.306451612903,2.0780645161290323,2425,12098.45,8557.935810198362
32,0,0,10,3.0,0.0,0.0,5071.483333333329,2.0913333333333317,2425,15582.44,3804.9156973663335
32,0,0,10,3.0,0.0,0.0,18598.96774193549,7.669677419354841,2425,17614.61,513.3216133209991
33,1,959,0,32.0,5.0,64717.0752688172,0.0,10.112043010752688,6400,91019.02,3166.682665801108
33,1,961,0,32.0,5.0,56326.09523809523,0.0,8.80095238095238,6400,80655.13,2767.866998488287
33,1,992,0,32.0,5.0,51334.8817204301,0.0,8.021075268817203,6400,86751.38,37123.596899885066
33,1,994,0,32.0,5.0,25369.599999999995,0.0,3.963999999999999,6400,78857.63,14919.549110947954
33,1,1080,0,32.0,5.0,30074.49462365589,0.0,4.699139784946233,6400,72229.08,28270.512771839924
33,1,1081,0,32.0,5.0,45775.64444444442,0.0,7.152444444444441,6400,70786.04,41206.15710296951
33,1,1081,0,32.0,5.0,51439.48387096773,0.0,8.037419354838708,6400,109292.01,71116.6013472646
33,1,1090,0,32.0,5.0,45160.60215053765,0.0,7.056344086021507,6400,91346.83,70527.89478309563
33,1,1092,0,32.0,5.0,30647.466666666653,0.0,4.788666666666664,6400,91676.17,50172.241293157975
33,1,1092,0,32.0,5.0,13299.612903225807,0.0,2.0780645161290323,6400,85431.57,42127.43619072974
33,1,1103,0,32.0,5.0,13384.533333333324,0.0,2.0913333333333317,6400,92692.95,34572.774389701786
33,1,1105,0,32.0,5.0,49085.935483870984,0.0,7.669677419354841,6400,99644.07,8374.807737577441
34,0,0,301,1.0,0.0,0.0,41368.36795698924,10.112043010752688,4091,55471.47,3484.1518629979228
34,0,0,301,1.0,0.0,0.0,36004.696190476185,8.80095238095238,4091,44192.84,6647.833437244731
34,0,0,301,1.0,0.0,0.0,32814.218924731176,8.021075268817203,4091,47068.89,4779.988854491367
34,0,0,328,1.0,0.0,0.0,16216.723999999997,3.963999999999999,4091,42774.9,12003.721098627404
34,0,0,328,1.0,0.0,0.0,19224.18086021504,4.699139784946233,4091,38005.99,17638.92559292668
34,0,0,328,1.0,0.0,0.0,29260.650222222208,7.152444444444441,4091,54620.34,28531.343120567974
34,0,0,328,1.0,0.0,0.0,32881.082580645154,8.037419354838708,4091,64508.41,32758.34228491077
34,0,0,330,1.0,0.0,0.0,28867.503655913988,7.056344086021507,4091,44212.56,27685.64016236104
34,0,0,330,1.0,0.0,0.0,19590.435333333324,4.788666666666664,4091,46155.86,26298.44825366548
34,0,0,334,1.0,0.0,0.0,8501.361935483872,2.0780645161290323,4091,39947.61,15195.167286799164
34,0,0,338,1.0,0.0,0.0,8555.64466666666,2.0913333333333317,4091,47225.71,13009.744752633564
34,0,0,342,1.0,0.0,0.0,31376.650322580652,7.669677419354841,4091,49964.84,10834.06855659009
35,0,0,291,0.0,0.0,0.0,50924.24860215053,10.112043010752688,5036,56217.33,10667.333091015453
35,0,0,291,0.0,0.0,0.0,44321.596190476186,8.80095238095238,5036,46986.77,9864.332668233845
35,0,0,291,0.0,0.0,0.0,40394.135053763435,8.021075268817203,5036,50310.17,19786.40881151717
35,0,0,291,0.0,0.0,0.0,19962.703999999994,3.963999999999999,5036,43121.99,13704.499314152416
35,0,0,301,0.0,0.0,0.0,23664.86795698923,4.699139784946233,5036,52671.07,26610.857164301146
35,0,0,301,0.0,0.0,0.0,36019.71022222221,7.152444444444441,5036,55279.63,37617.84274396108
35,0,0,301,0.0,0.0,0.0,40476.443870967734,8.037419354838708,5036,58741.15,44957.3288949487
35,0,0,301,0.0,0.0,0.0,35535.74881720431,7.056344086021507,5036,43991.54,41598.54998042182
35,0,0,301,0.0,0.0,0.0,24115.72533333332,4.788666666666664,5036,45132.37,36693.3068022212
35,0,0,301,0.0,0.0,0.0,10465.132903225807,2.0780645161290323,5036,30103.55,26913.11089868679
35,0,0,301,0.0,0.0,0.0,10531.95466666666,2.0913333333333317,5036,50000.0,19656.065031059905
35,0,0,305,0.0,0.0,0.0,38624.495483870975,7.669677419354841,5036,55000.0,6843.144210885851
37,0,0,781,129.0,0.0,0.0,57942.0064516129,10.112043010752688,5730,135595.06,9062.672488463166
37,0,0,782,129.0,0.0,0.0,50429.457142857136,8.80095238095238,5730,123789.73,12442.96672573865
37,0,0,783,129.0,0.0,0.0,45960.761290322574,8.021075268817203,5730,133732.12,19490.95561024361
37,0,0,783,129.0,0.0,0.0,22713.719999999994,3.963999999999999,5730,116187.89,13445.39557416524
37,0,0,784,129.0,0.0,0.0,26926.070967741915,4.699139784946233,5730,139473.42,36111.88953006909
37,0,0,784,129.0,0.0,0.0,40983.506666666646,7.152444444444441,5730,133848.56,39316.5827685808
37,0,0,784,129.0,0.0,0.0,46054.41290322579,8.037419354838708,5730,147883.47,47504.0230973835
37,0,0,785,129.0,0.0,0.0,40432.851612903236,7.056344086021507,5730,137096.25,82940.47447653388
37,0,0,879,129.0,0.0,0.0,27439.059999999987,4.788666666666664,5730,136582.0,75083.64728055563
37,0,0,879,129.0,0.0,0.0,11907.309677419355,2.0780645161290323,5730,135481.0,21034.015185683485
37,0,0,879,129.0,0.0,0.0,11983.339999999991,2.0913333333333317,5730,130983.0,20709.696685255603
37,0,0,880,129.0,0.0,0.0,43947.25161290324,7.669677419354841,5730,153504.0,9967.390730148436
38,1,46,0,0.0,7.0,19425.234623655913,0.0,10.112043010752688,1921,15582.61,3419.118370528392
38,1,46,0,0.0,7.0,16906.629523809523,0.0,8.80095238095238,1921,12980.78,2188.3418551329964
38,1,47,0,0.0,7.0,15408.485591397846,0.0,8.021075268817203,1921,15105.73,3273.3948171329644
38,1,47,0,0.0,7.0,7614.843999999998,0.0,3.963999999999999,1921,13368.03,3475.118771957279
38,1,48,0,0.0,7.0,9027.047526881714,0.0,4.699139784946233,1921,15204.89,12956.211737360603
38,1,48,0,0.0,7.0,13739.845777777771,0.0,7.152444444444441,1921,13891.09,16754.768760580966
38,1,48,0,0.0,8.0,15439.882580645157,0.0,8.037419354838708,1921,13903.07,25280.21834160516
38,1,48,0,0.0,8.0,13555.236989247316,0.0,7.056344086021507,1921,12097.18,24854.45689689246
38,1,48,0,0.0,8.0,9199.028666666662,0.0,4.788666666666664,1921,12202.62,27276.4206451079
38,1,48,0,0.0,8.0,3991.961935483871,0.0,2.0780645161290323,1921,12847.45,12246.892021584126
38,1,48,0,0.0,8.0,4017.4513333333302,0.0,2.0913333333333317,1921,14312.59,5710.01040082159
38,1,49,0,0.0,8.0,14733.45032258065,0.0,7.669677419354841,1921,14860.42,1976.3212352309968
39,1,265,0,4.0,56.0,46727.75075268817,0.0,10.112043010752688,4621,119101.69,17294.347061990848
39,1,265,0,4.0,56.0,40669.20095238095,0.0,8.80095238095238,4621,106997.79,18331.00928862191
39,1,268,0,4.0,56.0,37065.38881720429,0.0,8.021075268817203,4621,116192.2,21593.17398554794
39,1,268,0,4.0,56.0,18317.643999999997,0.0,3.963999999999999,4621,104062.81,22927.558957735888
39,1,271,0,4.0,56.0,21714.724946236543,0.0,4.699139784946233,4621,104837.86,47875.43686548391
39,1,271,0,4.0,56.0,33051.445777777764,0.0,7.152444444444441,4621,92303.46,64530.02337271952
39,1,272,0,4.0,56.0,37140.914838709665,0.0,8.037419354838708,4621,107483.53,83649.75219581675
39,1,273,0,4.0,56.0,32607.366021505386,0.0,7.056344086021507,4621,110382.81,102031.04255437724
39,1,273,0,4.0,57.0,22128.428666666656,0.0,4.788666666666664,4621,107589.25,70033.46898786502
39,1,273,0,4.0,57.0,9602.736129032259,0.0,2.0780645161290323,4621,108008.82,59993.28199015113
39,1,280,0,4.0,58.0,9664.051333333326,0.0,2.0913333333333317,4621,103905.58,34085.3579937415
39,1,286,0,4.0,58.0,35441.579354838716,0.0,7.669677419354841,4621,112033.15,16165.441311275586
40,1,181,0,0.0,49.0,40003.24215053763,0.0,10.112043010752688,3956,93124.06,18891.01131841844
40,1,183,0,0.0,49.0,34816.567619047615,0.0,8.80095238095238,3956,75878.92,18777.32587796654
40,1,183,0,0.0,49.0,31731.373763440854,0.0,8.021075268817203,3956,81513.72,21063.01250187632
40,1,184,0,0.0,50.0,15681.583999999997,0.0,3.963999999999999,3956,75871.12,18924.93286241364
40,1,184,0,0.0,50.0,18589.796989247297,0.0,4.699139784946233,3956,79655.33,27020.73433755544
40,1,184,0,0.0,50.0,28295.07022222221,0.0,7.152444444444441,3956,78427.85,38299.76098665764
40,1,186,0,0.0,50.0,31796.030967741928,0.0,8.037419354838708,3956,87168.33,55343.42496118954
40,1,188,0,0.0,50.0,27914.897204301084,0.0,7.056344086021507,3956,86828.03,56555.2792922493
40,1,188,0,0.0,50.0,18943.965333333323,0.0,4.788666666666664,3956,84543.39,56874.503708877215
40,1,188,0,0.0,50.0,8220.823225806453,0.0,2.0780645161290323,3956,77693.81,36585.22874177484
40,1,190,0,0.0,51.0,8273.31466666666,0.0,2.0913333333333317,3956,82908.64,28074.74614890148
40,1,191,0,0.0,51.0,30341.243870967748,0.0,7.669677419354841,3956,96510.94,20330.602581712294
41,1,197,0,3.0,28.0,49508.56258064516,0.0,10.112043010752688,4896,163417.63,29434.14832367552
41,1,198,0,3.0,28.0,43089.46285714285,0.0,8.80095238095238,4896,141544.24,24989.334007104902
41,1,198,0,3.0,28.0,39271.184516129026,0.0,8.021075268817203,4896,159604.99,32020.20737946757
41,1,198,0,3.0,28.0,19407.743999999995,0.0,3.963999999999999,4896,143574.29,40601.38546224735
41,1,198,0,3.0,28.0,23006.988387096757,0.0,4.699139784946233,4896,126286.34,56777.72708600786
41,1,198,0,3.0,28.0,35018.36799999999,0.0,7.152444444444441,4896,147389.0,69117.4025435199
41,1,198,0,3.0,28.0,39351.205161290316,0.0,8.037419354838708,4896,151364.0,83135.62287511337
41,1,200,0,3.0,28.0,34547.8606451613,0.0,7.056344086021507,4896,150398.59,93166.15733197986
41,1,200,0,3.0,28.0,23445.311999999987,0.0,4.788666666666664,4896,143880.16,69484.96034693018
41,1,201,0,3.0,28.0,10174.203870967742,0.0,2.0780645161290323,4896,142621.52,56537.71966365069
41,1,203,0,3.0,28.0,10239.167999999992,0.0,2.0913333333333317,4896,148972.0,44246.262380943896
41,1,203,0,3.0,29.0,37550.7406451613,0.0,7.669677419354841,4896,152027.0,38905.9501022075
