אינוונטר,תאריך קבלה,סטטוס,שם סטטוס,תאריך עדכון אחרון,פריט,"מחיר כניסה בש""ח",מחיר כניסה בדולר,תיאור האינוונטר,הערות לשורה מההזמנה,מחלקה,שם מחלקה,הזמנה,סריאלי,מחיר ידני,קוד סימון,תז שואל,פטור מותנה,מנוהל תמיד,קמפוס,שם קמפוס,בניין,שם בניין,קומה,חדר,הערות לפריט אומנות
160283,26/08/2020,1,פעיל,26/08/2020,80000109,"2,790.00",868.89,מקרר ביתי,"מקרר דגם -2239 SJ- 400 ליטר ,אינוורטר ,נו פרוסט . הובלה לנקודה אחת למחסן מדרשת שדה בוקר.. . מקרר דגם SJ2239, 400 ליטר אינוונטר נו  פרוסט, צבע . סילבר כולל הובלה לקמפוס שדה בוקר, במדרשת בן-גוריון . הורדה בנק' אחת.",3926,שדה בוקר-פרוייקטים מיוחדים,4362123,,,,,,,7,קמפוס שדה בוקר,SB-47,,0,1,
160284,26/08/2020,1,פעיל,26/08/2020,80000109,"2,790.00",868.89,מקרר ביתי,"מקרר דגם -2239 SJ- 400 ליטר ,אינוורטר ,נו פרוסט . הובלה לנקודה אחת למחסן מדרשת שדה בוקר.. . מקרר דגם SJ2239, 400 ליטר אינוונטר נו  פרוסט, צבע . סילבר כולל הובלה לקמפוס שדה בוקר, במדרשת בן-גוריון . הורדה בנק' אחת.",3926,שדה בוקר-פרוייקטים מיוחדים,4362123,,,,,,,7,קמפוס שדה בוקר,SB-47,,0,1,
160285,26/08/2020,1,פעיל,26/08/2020,80000109,"2,790.00",868.89,מקרר ביתי,"מקרר דגם -2239 SJ- 400 ליטר ,אינוורטר ,נו פרוסט . הובלה לנקודה אחת למחסן מדרשת שדה בוקר.. . מקרר דגם SJ2239, 400 ליטר אינוונטר נו  פרוסט, צבע . סילבר כולל הובלה לקמפוס שדה בוקר, במדרשת בן-גוריון . הורדה בנק' אחת.",3926,שדה בוקר-פרוייקטים מיוחדים,4362123,,,,,,,7,קמפוס שדה בוקר,SB-47,,0,1,
153826,30/09/2018,1,פעיל,18/11/2018,80000109,"2,722.81",847.96,מקרר ביתי,מקרר מקפיא עליון Sharp SJ3145 405 ליטר שארפ,3926,שדה בוקר-פרוייקטים מיוחדים,4322839,,,,,,,7,קמפוס שדה בוקר,SB-47,,1,1,
153827,30/09/2018,1,פעיל,18/11/2018,80000109,"2,722.81",847.96,מקרר ביתי,מקרר מקפיא עליון Sharp SJ3145 405 ליטר שארפ,3926,שדה בוקר-פרוייקטים מיוחדים,4322839,,,,,,,7,קמפוס שדה בוקר,SB-47,,1,1,
153828,30/09/2018,1,פעיל,18/11/2018,80000109,"2,722.81",847.96,מקרר ביתי,מקרר מקפיא עליון Sharp SJ3145 405 ליטר שארפ,3926,שדה בוקר-פרוייקטים מיוחדים,4322839,,,,,,,7,קמפוס שדה בוקר,SB-47,,1,1,
153829,30/09/2018,1,פעיל,18/11/2018,80000109,"2,722.81",847.96,מקרר ביתי,מקרר מקפיא עליון Sharp SJ3145 405 ליטר שארפ,3926,שדה בוקר-פרוייקטים מיוחדים,4322839,,,,,,,7,קמפוס שדה בוקר,SB-47,,1,1,
152787,23/07/2018,1,פעיל,23/07/2018,80000109,"2,700.00",840.86,מקרר ביתי,"מקררים  דגם   LG  SJ2255  כולל הובלה  פתיחה צד שמואל בלבד . מקרר 400-420 ליטר ,רוחב 70 ס""מ (עומק וגובה ללא חשיבות הרוחב מאוד חשוב ) . ,ציר הדלת צד שמאל ",5519,הנדסת מערכות מידע,4310200,,,,,,,5,קמפוס מרקוס,96,96 בניין קרול ומרקוס ויינשטיין להנדסת מערכות תכנה ומידע ולאבטחת סייבר,1,1,
152788,23/07/2018,1,פעיל,23/07/2018,80000109,"2,700.00",840.86,מקרר ביתי,"מקררים  דגם   LG  SJ2255  כולל הובלה  פתיחה צד שמואל בלבד . מקרר 400-420 ליטר ,רוחב 70 ס""מ (עומק וגובה ללא חשיבות הרוחב מאוד חשוב ) . ,ציר הדלת צד שמאל ",5519,הנדסת מערכות מידע,4310200,,,,,,,5,קמפוס מרקוס,96,96 בניין קרול ומרקוס ויינשטיין להנדסת מערכות תכנה ומידע ולאבטחת סייבר,1,1,
152789,23/07/2018,1,פעיל,23/07/2018,80000109,"2,700.00",840.86,מקרר ביתי,"מקררים  דגם   LG  SJ2255  כולל הובלה  פתיחה צד שמואל בלבד . מקרר 400-420 ליטר ,רוחב 70 ס""מ (עומק וגובה ללא חשיבות הרוחב מאוד חשוב ) . ,ציר הדלת צד שמאל ",5519,הנדסת מערכות מידע,4310200,,,,,,,5,קמפוס מרקוס,96,96 בניין קרול ומרקוס ויינשטיין להנדסת מערכות תכנה ומידע ולאבטחת סייבר,1,1,
